step,t,noise_active,noise_std_pos,noise_std_vel,dropout_active,dropout_mode,path_active,x_meas,y_meas,z_meas,vx_meas,vy_meas,vz_meas,x_used,y_used,z_used,vx_used,vy_used,vz_used,roll,pitch,yaw,p,q,r,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,action_0,action_1,action_2,action_3,U1,rates_des_x,rates_des_y,rates_des_z,reward,done
0,0.005,0,0.05,0.05,0,NONE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.9119811,0.0,0.0,0.0,0.3474131903742865,0.0,0.0,0.0,-0.1591505803738826,0
1,0.01,0,0.05,0.05,0,NONE,0,-1.9840940683507737e-07,-9.141841587258093e-06,0.0008494163125227469,-3.750741113932095e-05,0.014315882804216896,0.18647097340204555,-1.9840940683507737e-07,-9.141841587258093e-06,0.0008494163125227469,-3.750741113932095e-05,0.014315882804216896,0.18647097340204555,0.014493194701125235,-2.1074036864445204e-05,-1.4398957705393278e-06,-0.9765182596529888,-0.003222831527494894,-9.479460447672612e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.46560803,0.056483686,0.0006009736,5.5034343e-06,0.29836928449805405,0.059149578627090534,0.0006293381176463589,5.7631828215836595e-06,-0.15724748873035016,0
2,0.015,0,0.05,0.05,0,NONE,0,-6.269403342757189e-07,3.530880417924455e-05,0.002752511658791299,-3.8476222844411695e-05,0.0039310530195290965,0.18330756145627694,-6.269403342757189e-07,3.530880417924455e-05,0.002752511658791299,-3.8476222844411695e-05,0.0039310530195290965,0.18330756145627694,0.01138962266317861,-5.3575794996977294e-05,-1.9379858513040356e-06,-0.2755731017356222,-0.0029079844546488535,-1.8534346923577359e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.46669447,-0.04086159,0.0008636432,7.4106247e-06,0.29848865634247546,-0.04279015852783369,0.0009044050329115432,7.760388109270752e-06,-0.15562714632737368,0
3,0.02,0,0.05,0.05,0,NONE,0,-4.709788218965728e-07,6.931476368571344e-05,0.004372865533109916,4.792710151128885e-05,0.0032439754000273846,0.15530569677098807,-4.709788218965728e-07,6.931476368571344e-05,0.004372865533109916,4.792710151128885e-05,0.0032439754000273846,0.15530569677098807,0.008985804699779207,-4.251783889857584e-05,-1.810652317411715e-06,-0.2299471988997701,0.0035046912805015928,3.9882742753101966e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.5281143,-0.03033069,-0.00023125563,6.9285693e-06,0.30523697744310996,-0.031762224047486784,-0.00024217032923678803,7.2555806044949976e-06,-0.15425446494133147,0
4,0.025,0,0.05,0.05,0,NONE,0,1.0030828847717185e-06,9.745487669476541e-05,0.005745562270672449,0.0001862927784904272,0.0026772589870311873,0.13159326511222208,1.0030828847717185e-06,9.745487669476541e-05,0.005745562270672449,0.0001862927784904272,0.0026772589870311873,0.13159326511222208,0.006977033814957305,6.629417513406502e-05,-9.948126509637347e-07,-0.1915654010333278,0.013766477453443535,-6.8803298830031045e-06,0.0,0.0,0.16,0.0,0.0,0.0,0.58032423,-0.021442756,-0.0026896824,3.8146661e-06,0.3109733857111983,-0.022454801235779736,-0.002816628914739216,3.994708970330486e-06,-0.153090537814383,0
5,0.030000000000000002,0,0.05,0.05,0,NONE,0,3.0188015777550857e-06,0.00012042979083815791,0.006909506007597357,0.00019652351745144044,0.0021756110674811787,0.11161454381444706,3.0188015777550857e-06,0.00012042979083815791,0.006909506007597357,0.00019652351745144044,0.0021756110674811787,0.11161454381444706,0.005323401979639641,0.00021529279357565597,-3.2221419383727956e-07,-0.1568998789537942,0.014527952766831968,-2.9289151134787923e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.62448955,-0.014535671,-0.00396251,1.2462984e-06,0.3158259181776782,-0.015221719572948463,-0.004149530599197774,1.3051206773092584e-06,-0.15210271291734181,0
6,0.035,0,0.05,0.05,0,NONE,0,5.181536006324141e-06,0.00013890803986092603,0.007897347023642016,0.0002256241442870826,0.0017436853747290343,0.09474581776051791,5.181536006324141e-06,0.00013890803986092603,0.007897347023642016,0.0002256241442870826,0.0017436853747290343,0.09474581776051791,0.003984322873807706,0.0003753521634152911,4.4636248575827486e-08,-0.1265659225375933,0.01670274499680464,-3.9616335098721105e-05,0.0,0.0,0.16,0.0,0.0,0.0,0.66196316,-0.009241862,-0.0055421432,-1.550736e-07,0.3199432158270244,-0.009678055369525299,-0.005803718775782293,-1.6239268296460927e-07,-0.15126273024252593,0
7,0.04,0,0.05,0.05,0,NONE,0,7.544009326633503e-06,0.00015370903022502583,0.008737344466785424,0.00022573503219698848,0.0014085618019933025,0.08067909140093048,7.544009326633503e-06,0.00015370903022502583,0.008737344466785424,0.00022573503219698848,0.0014085618019933025,0.08067909140093048,0.0029059927194146295,0.000548030132115541,-3.0852592976087966e-07,-0.10272903461144553,0.016260225795730082,-0.00014613364649699158,0.0,0.0,0.16,0.0,0.0,0.0,0.6933635,-0.0048294207,-0.0068816068,1.1946431e-06,0.3233932336191668,-0.005057357463280506,-0.007206401715183264,1.2510273452066216e-06,-0.1505479856077582,0
8,0.045,0,0.05,0.05,0,NONE,0,8.523667252174025e-06,0.00016517227544644175,0.009452101665872606,6.16937840881281e-05,0.0010643680476534348,0.06857757676427131,8.523667252174025e-06,0.00016517227544644175,0.009452101665872606,6.16937840881281e-05,0.0010643680476534348,0.06857757676427131,0.0020675508370305035,0.0006172573809377449,-1.2885514344085886e-06,-0.07792644592184893,0.004277970313603835,-0.00010472236316756361,0.0,0.0,0.16,0.0,0.0,0.0,0.72059214,-0.0023748,-0.0055038044,4.941141e-06,0.32638489875929716,-0.0024868845814001784,-0.005763570333873249,5.174350742383479e-06,-0.14993896678234012,0
9,0.049999999999999996,0,0.05,0.05,0,NONE,0,8.947482776309788e-06,0.00017379301346058865,0.010061130629402625,2.0878365610468345e-05,0.000802542186975988,0.05853276486115066,8.947482776309788e-06,0.00017379301346058865,0.010061130629402625,2.0878365610468345e-05,0.000802542186975988,0.05853276486115066,0.001435987457351865,0.0006433781128711023,-2.7307827723164925e-06,-0.05873060560814471,0.000773031531381524,-0.0002004732478070581,0.0,0.0,0.16,0.0,0.0,0.0,0.74335146,-0.00055503845,-0.0052324715,1.0456578e-05,0.3288855136635366,-0.0005812349018276956,-0.0054794312050870445,1.0950103050945886e-05,-0.14941924849130667,0
10,0.05499999999999999,0,0.05,0.05,0,NONE,0,9.378360025336008e-06,0.00018004856612153074,0.010580856705052577,0.00011573067704884668,0.0005839914106490175,0.04996067917698845,9.378360025336008e-06,0.00018004856612153074,0.010580856705052577,0.00011573067704884668,0.0005839914106490175,0.04996067917698845,0.0009779465202690908,0.0006675063265082822,-4.631858290777624e-06,-0.042713683600067304,0.007586679680149209,-0.00023347979185284358,0.0,0.0,0.16,0.0,0.0,0.0,0.7629659,0.00043049635,-0.0065315207,1.772921e-05,0.33104059077051257,0.0004508147125277056,-0.006839792774880833,1.8565984770517355e-05,-0.14897606737498403,0
11,0.05999999999999999,0,0.05,0.05,0,NONE,0,8.510903357509429e-06,0.00018390333988338342,0.011024042801528019,-0.00010806096314563983,0.0003387631821320733,0.04250052003768743,8.510903357509429e-06,0.00018390333988338342,0.011024042801528019,-0.00010806096314563983,0.0003387631821320733,0.04250052003768743,0.0006967726524999762,0.0005936428099479334,-6.3447477011317786e-06,-0.02477549933211502,-0.008660846362904422,-0.00011501094460352237,0.0,0.0,0.16,0.0,0.0,0.0,0.7802431,-0.00026216506,-0.0033497924,2.4287112e-05,0.3329388673147829,-0.00027453860641260406,-0.0035078943421847203,2.5433404281186804e-05,-0.14859814173576202,0
12,0.06499999999999999,0,0.05,0.05,0,NONE,0,7.424433641608031e-06,0.00018595650460766236,0.011401971226958362,-7.633864290861187e-05,0.00017380163982943066,0.03633882575879418,7.424433641608031e-06,0.00018595650460766236,0.011401971226958362,-7.633864290861187e-05,0.00017380163982943066,0.03633882575879418,0.0005466610456498886,0.0005104993972744215,-7.241740119901329e-06,-0.012610767572765089,-0.006089831626843331,-0.00012809642553862416,0.0,0.0,0.16,0.0,0.0,0.0,0.7946925,-0.0010301531,-0.0030803247,2.7730659e-05,0.3345264571566126,-0.0010787738855326076,-0.003225708424360458,2.9039478306564756e-05,-0.1482668397715569,0
13,0.06999999999999999,0,0.05,0.05,0,NONE,0,8.459957403205248e-06,0.00018782752435453706,0.011733275865482952,0.00011567899056002349,0.0001739556995461075,0.032469234976026766,8.459957403205248e-06,0.00018782752435453706,0.011733275865482952,0.00011567899056002349,0.0001739556995461075,0.032469234976026766,0.0003743930475621597,0.0005518275130299356,-8.92784332758866e-06,-0.019748534224355817,0.001537764694406805,-0.0003481731602574166,0.0,0.0,0.16,0.0,0.0,0.0,0.80387026,0.00029956567,-0.0056489827,3.4192413e-05,0.33553483586999366,0.0003137044490938711,-0.005915600868062735,3.580621074563305e-05,-0.1479288208138323,0
